year	month	park	country_jp	count
2016	01	阿寒摩周国立公園	アメリカ合衆国	1-9
2016	01	阿寒摩周国立公園	シンガポール	1-9
2016	01	阿寒摩周国立公園	マレーシア	1-9
2016	01	阿寒摩周国立公園	中国	1-9
2016	01	阿寒摩周国立公園	台湾	19
2016	01	阿寒摩周国立公園	朝鮮、南部	1-9
2016	01	阿寒摩周国立公園	香港(PRC)	12
2016	01	十和田八幡平国立公園	アメリカ合衆国	1-9
2016	01	十和田八幡平国立公園	オーストラリア	1-9
2016	01	十和田八幡平国立公園	ノルウェー	1-9
2016	01	十和田八幡平国立公園	ベトナム	1-9
2016	01	十和田八幡平国立公園	台湾	1-9
2016	01	十和田八幡平国立公園	朝鮮、南部	1-9
2016	01	十和田八幡平国立公園	英国	1-9
2016	01	十和田八幡平国立公園	香港(PRC)	1-9
2016	01	日光国立公園	アメリカ合衆国	1-9
2016	01	日光国立公園	イタリア	1-9
2016	01	日光国立公園	インドネシア	1-9
2016	01	日光国立公園	オーストラリア	1-9
2016	01	日光国立公園	シンガポール	1-9
2016	01	日光国立公園	スウェーデン	1-9
2016	01	日光国立公園	タイ	17
2016	01	日光国立公園	ドイツ	1-9
2016	01	日光国立公園	フィリピン	1-9
2016	01	日光国立公園	ブルネイ・ダルサラーム	1-9
2016	01	日光国立公園	ポーランド	1-9
2016	01	日光国立公園	マレーシア	1-9
2016	01	日光国立公園	メキシコ	1-9
2016	01	日光国立公園	中国	1-9
2016	01	日光国立公園	台湾	59
2016	01	日光国立公園	朝鮮、南部	1-9
2016	01	日光国立公園	英国	1-9
2016	01	日光国立公園	香港(PRC)	1-9
2016	01	伊勢志摩国立公園	アメリカ合衆国	1-9
2016	01	伊勢志摩国立公園	インドネシア	1-9
2016	01	伊勢志摩国立公園	オーストラリア	1-9
2016	01	伊勢志摩国立公園	タイ	1-9
2016	01	伊勢志摩国立公園	フィリピン	1-9
2016	01	伊勢志摩国立公園	マレーシア	1-9
2016	01	伊勢志摩国立公園	中国	1-9
2016	01	伊勢志摩国立公園	台湾	38
2016	01	伊勢志摩国立公園	朝鮮、南部	1-9
2016	01	伊勢志摩国立公園	香港(PRC)	11
2016	02	阿寒摩周国立公園	アメリカ合衆国	1-9
2016	02	阿寒摩周国立公園	インドネシア	1-9
2016	02	阿寒摩周国立公園	オーストラリア	1-9
2016	02	阿寒摩周国立公園	シンガポール	1-9
2016	02	阿寒摩周国立公園	タイ	1-9
2016	02	阿寒摩周国立公園	ドイツ	1-9
2016	02	阿寒摩周国立公園	ハンガリー	1-9
2016	02	阿寒摩周国立公園	マレーシア	1-9
2016	02	阿寒摩周国立公園	中国	1-9
