年,月,日,年号,和暦,曜日,曜日番号,祝日名
2015,1,1,平成,27,Thu,4,元日
2015,1,2,平成,27,Fri,5,
2015,1,3,平成,27,Sat,6,
2015,1,4,平成,27,Sun,0,
2015,1,5,平成,27,Mon,1,
2015,1,6,平成,27,Tue,2,
2015,1,7,平成,27,Wed,3,
2015,1,8,平成,27,Thu,4,
2015,1,9,平成,27,Fri,5,
2015,1,10,平成,27,Sat,6,
2015,1,11,平成,27,Sun,0,
2015,1,12,平成,27,Mon,1,成人の日
2015,1,13,平成,27,Tue,2,
2015,1,14,平成,27,Wed,3,
2015,1,15,平成,27,Thu,4,
2015,1,16,平成,27,Fri,5,
2015,1,17,平成,27,Sat,6,
2015,1,18,平成,27,Sun,0,
2015,1,19,平成,27,Mon,1,
2015,1,20,平成,27,Tue,2,
2015,1,21,平成,27,Wed,3,
2015,1,22,平成,27,Thu,4,
2015,1,23,平成,27,Fri,5,
2015,1,24,平成,27,Sat,6,
2015,1,25,平成,27,Sun,0,
2015,1,26,平成,27,Mon,1,
2015,1,27,平成,27,Tue,2,
2015,1,28,平成,27,Wed,3,
2015,1,29,平成,27,Thu,4,
2015,1,30,平成,27,Fri,5,
2015,1,31,平成,27,Sat,6,
2015,2,1,平成,27,Sun,0,
2015,2,2,平成,27,Mon,1,
2015,2,3,平成,27,Tue,2,
2015,2,4,平成,27,Wed,3,
2015,2,5,平成,27,Thu,4,
2015,2,6,平成,27,Fri,5,
2015,2,7,平成,27,Sat,6,
2015,2,8,平成,27,Sun,0,
2015,2,9,平成,27,Mon,1,
2015,2,10,平成,27,Tue,2,
2015,2,11,平成,27,Wed,3,建国記念の日
2015,2,12,平成,27,Thu,4,
2015,2,13,平成,27,Fri,5,
2015,2,14,平成,27,Sat,6,
2015,2,15,平成,27,Sun,0,
2015,2,16,平成,27,Mon,1,
2015,2,17,平成,27,Tue,2,
2015,2,18,平成,27,Wed,3,
2015,2,19,平成,27,Thu,4,
2015,2,20,平成,27,Fri,5,
2015,2,21,平成,27,Sat,6,
2015,2,22,平成,27,Sun,0,
2015,2,23,平成,27,Mon,1,
2015,2,24,平成,27,Tue,2,
2015,2,25,平成,27,Wed,3,
2015,2,26,平成,27,Thu,4,
2015,2,27,平成,27,Fri,5,
2015,2,28,平成,27,Sat,6,
2015,3,1,平成,27,Sun,0,
2015,3,2,平成,27,Mon,1,
2015,3,3,平成,27,Tue,2,
2015,3,4,平成,27,Wed,3,
2015,3,5,平成,27,Thu,4,
2015,3,6,平成,27,Fri,5,
2015,3,7,平成,27,Sat,6,
