datetime	Japan_count	Foreign_count
2016-01-01	28	0
2016-01-02	66	1
2016-01-03	75	6
2016-01-04	50	1
2016-01-05	25	0
2016-01-06	29	2
2016-01-07	7	1
2016-01-08	9	1
2016-01-09	43	2
2016-01-10	68	2
2016-01-11	37	2
2016-01-12	19	1
2016-01-13	12	1
2016-01-14	6	0
2016-01-15	16	0
2016-01-16	51	0
2016-01-17	44	2
2016-01-18	4	1
2016-01-19	4	0
2016-01-20	5	0
2016-01-21	9	0
2016-01-22	13	7
2016-01-23	32	1
2016-01-24	51	4
2016-01-25	6	3
2016-01-26	15	0
2016-01-27	10	0
2016-01-28	12	3
2016-01-29	18	11
2016-01-30	49	6
2016-01-31	65	2
2016-02-01	14	1
2016-02-02	14	0
2016-02-03	12	0
2016-02-04	10	2
2016-02-05	10	0
2016-02-06	53	18
2016-02-07	52	1
2016-02-08	32	2
2016-02-09	12	4
2016-02-10	27	1
2016-02-11	62	1
2016-02-12	35	5
2016-02-13	89	2
2016-02-14	60	3
2016-02-15	16	2
2016-02-16	10	3
2016-02-17	17	1
2016-02-18	21	0
2016-02-19	26	0
2016-02-20	102	0
2016-02-21	46	0
2016-02-22	25	0
2016-02-23	26	1
2016-02-24	30	2
2016-02-25	29	0
2016-02-26	21	3
2016-02-27	78	1
2016-02-28	84	15
2016-02-29	24	0
2016-03-01	23	1
2016-03-02	18	4
2016-03-03	15	0
2016-03-04	24	1
2016-03-05	68	0
2016-03-06	43	0
2016-03-07	13	1
2016-03-08	46	0
2016-03-09	18	4
2016-03-10	19	1
2016-03-11	10	0
2016-03-12	47	0
2016-03-13	98	2
2016-03-14	29	2
2016-03-15	65	0
2016-03-16	41	2
2016-03-17	31	0
2016-03-18	17	1
2016-03-19	30	3
2016-03-20	74	5
2016-03-21	62	1
2016-03-22	30	0
2016-03-23	30	1
2016-03-24	16	2
2016-03-25	13	1
2016-03-26	19	2
2016-03-27	32	2
2016-03-28	17	0
2016-03-29	19	2
2016-03-30	19	5
2016-03-31	19	1
2016-04-01	11	4
2016-04-02	22	1
2016-04-03	30	1
2016-04-04	6	0
2016-04-05	15	2
2016-04-06	19	5
2016-04-07	7	1
2016-04-08	8	1
2016-04-09	27	2
2016-04-10	34	4
2016-04-11	13	4
2016-04-12	14	3
2016-04-13	18	0
2016-04-14	6	7
2016-04-15	14	1
2016-04-16	57	1
2016-04-17	18	2
2016-04-18	5	0
2016-04-19	9	7
2016-04-20	8	0
2016-04-21	2	0
2016-04-22	13	2
2016-04-23	43	1
2016-04-24	41	3
2016-04-25	22	0
2016-04-26	7	3
2016-04-27	14	0
2016-04-28	19	2
2016-04-29	21	1
2016-04-30	48	3
2016-05-01	50	4
2016-05-02	64	3
2016-05-03	64	6
2016-05-04	71	2
2016-05-05	106	1
2016-05-06	67	4
2016-05-07	45	1
2016-05-08	39	0
2016-05-09	9	1
2016-05-10	1	0
2016-05-11	7	2
2016-05-12	11	4
2016-05-13	8	1
2016-05-14	69	2
2016-05-15	56	1
2016-05-16	9	1
2016-05-17	5	1
2016-05-18	7	4
2016-05-19	16	2
2016-05-20	13	1
2016-05-21	60	3
2016-05-22	46	5
2016-05-23	7	1
2016-05-24	16	2
2016-05-25	16	0
2016-05-26	26	3
2016-05-27	6	2
2016-05-28	26	0
2016-05-29	38	0
2016-05-30	11	1
2016-05-31	11	2
2016-06-01	13	1
2016-06-02	43	2
2016-06-03	12	2
2016-06-04	46	3
2016-06-05	22	2
2016-06-06	7	7
2016-06-07	3	4
2016-06-08	13	1
2016-06-09	16	0
2016-06-10	11	5
2016-06-11	53	3
2016-06-12	45	9
2016-06-13	2	1
2016-06-14	4	0
2016-06-15	7	0
2016-06-16	9	0
2016-06-17	20	3
2016-06-18	43	1
2016-06-19	35	4
2016-06-20	22	2
2016-06-21	0	4
2016-06-22	2	4
2016-06-23	9	2
2016-06-24	13	0
2016-06-25	45	8
2016-06-26	70	2
2016-06-27	18	0
2016-06-28	8	0
2016-06-29	14	1
2016-06-30	5	0
2016-07-01	10	1
2016-07-02	53	4
2016-07-03	27	0
2016-07-04	8	1
2016-07-05	9	1
2016-07-06	21	2
2016-07-07	11	0
2016-07-08	12	1
2016-07-09	37	0
2016-07-10	49	0
2016-07-11	18	1
2016-07-12	5	0
