年月日	地点	平均気温(℃)	最高気温(℃)	最低気温(℃)	降水量の合計(mm)	10分間降水量の最大(mm)	日照時間(時間)	合計全天日射量(MJ/㎡)	最深積雪(cm)	降雪量合計(cm)	平均風速(m/s)	最大風速(m/s)	最大瞬間風速(m/s)	最多風向(16方位)	平均蒸気圧(hPa)	平均現地気圧(hPa)	平均湿度(%)	平均海面気圧(hPa)	最小相対湿度(%)	最低海面気圧(hPa)	平均雲量(10分比)	天気概況(昼:06時~18時)	天気概況(夜:18時~翌日06時)
2015/1/1	十和田	-1.9	0.3	-2.9	5.0	1.0	2.1		18.0	22.0	2.8	7.5	13.0	西南西									
2015/1/2	十和田	-3.9	-1.1	-8.0	0.0	0.0	3.3		17.0	0.0	2.2	6.1	9.6	西北西									
2015/1/3	十和田	-4.0	-1.6	-8.9	2.0	0.5	1.4		21.0	9.0	2.3	6.1	10.2	西南西									
2015/1/4	十和田	0.6	3.4	-1.6	0.0	0.0	2.6		19.0	1.0	1.6	5.8	10.0	南西									
2015/1/5	十和田	0.8	5.4	-5.1	0.0	0.0	4.0		14.0	0.0	1.5	4.4	7.4	西南西									
2015/1/6	十和田	2.0	7.9	-3.1	0.0	0.0	1.2		10.0	0.0	3.0	8.1	13.7	西									
2015/1/7	十和田	-3.7	-1.2	-5.5	0.0	0.0	4.2		11.0	6.0	5.8	9.6	16.9	西南西									
2015/1/8	十和田	0.2	2.2	-1.4	0.0	0.0	1.8		9.0	4.0	4.3	8.0	13.5	西									
2015/1/9	十和田	-0.2	2.4	-3.9	0.5	0.5	2.3		13.0	6.0	3.1	6.1	10.2	西									
2015/1/10	十和田	-0.5	1.8	-2.1	0.0	0.0	4.7		10.0	1.0	4.1	9.0	13.5	西南西									
2015/1/11	十和田	-1.0	1.7	-5.5	0.0	0.0	5.5		10.0	0.0	2.9	6.7	11.1	西南西									
2015/1/12	十和田	1.4	4.6	-4.5	0.0	0.0	4.9		10.0	2.0	4.2	7.8	11.4	西南西									
2015/1/13	十和田	1.6	3.8	0.1	0.0	0.0	4.9		8.0	0.0	4.0	7.6	13.1	西									
2015/1/14	十和田	2.7	7.0	-4.2	0.0	0.0	8.2		7.0	0.0	2.2	5.8	11.2	西南西									
2015/1/15	十和田	1.6	5.4	-1.5	0.0	0.0	0.0		5.0	0.0	1.4	3.1	4.9	北西									
2015/1/16	十和田	1.3	4.8	-0.8	0.0	0.0	1.7		5.0	0.0	2.1	5.3	8.6	西北西									
2015/1/17	十和田	-2.4	4.2	-7.3	0.0	0.0	4.3		9.0	6.0	4.4	11.1	18.4	西北西									
2015/1/18	十和田	-3.1	-1.1	-5.3	0.0	0.0	0.9		14.0	7.0	3.6	9.0	15.5	西北西									
2015/1/19	十和田	-1.7	1.6	-3.7	0.5	0.5	1.7		13.0	3.0	1.7	6.2	9.3	西北西									
2015/1/20	十和田	-4.9	-2.3	-15.3	3.0	0.5	2.6		26.0	17.0	3.3	6.9	13.0	西									
2015/1/21	十和田	-4.8	2.4	-16.0	0.0	0.0	6.3		21.0	1.0	0.9	3.0	3.8	西南西									
2015/1/22	十和田	-2.2	2.2	-9.3	1.0	0.5	0.0		17.0	0.0	0.7	2.3	3.1	西南西									
2015/1/23	十和田	1.8	4.4	0.7	2.5	0.5	3.2		15.0	2.0	3.7	8.6	13.2	北西									
2015/1/24	十和田	-0.1	2.4	-3.2	0.0	0.0	4.0		10.0	3.0	3.5	7.4	12.5	西									
2015/1/25	十和田	-1.4	4.5	-6.0	0.0	0.0	9.1		9.0	0.0	1.0	2.6	4.4	南南西									
2015/1/26	十和田	1.5	7.2	-3.5	0.0	0.0	3.7		9.0	0.0	0.8	3.2	6.6	南									
2015/1/27	十和田	1.8	7.0	-2.9	0.0	0.0	0.6		9.0	0.0	3.8	9.0	13.4	西北西									
2015/1/28	十和田	-3.9	-1.7	-5.8	0.0	0.0	7.0		6.0	1.0	3.9	7.6	11.6	西									
2015/1/29	十和田	-2.4	1.8	-7.1	0.0	0.0	6.5		6.0	1.0	2.0	5.7	10.1	南南西									
2015/1/30	十和田	-0.4	3.2	-3.7	8.0	0.5	2.3		15.0	10.0	1.0	2.4	4.3	南南西									
2015/1/31	十和田	0.4	2.9	-1.9	14.5	1.0	2.2		23.0	9.0	2.8	5.7	8.3	西北西									
2015/2/1	十和田	-1.1	1.4	-3.9	0.0	0.0	4.1		19.0	4.0	4.3	9.5	14.3	西北西									
2015/2/2	十和田	-1.3	1.0	-3.7	0.0	0.0	3.5		18.0	1.0	4.2	8.4	12.8	西北西									
2015/2/3	十和田	-1.3	0.9	-4.1	0.0	0.0	3.6		17.0	2.0	3.1	7.3	10.2	北西									
2015/2/4	十和田	-2.6	1.1	-10.4	0.0	0.0	1.2		16.0	0.0	1.4	3.7	5.6	西南西									
2015/2/5	十和田	-3.4	0.3	-8.6	0.0	0.0	1.0		16.0	0.0	1.8	4.1	6.1	東北東									
2015/2/6	十和田	-1.1	1.4	-5.2	0.0	0.0	4.3		18.0	6.0	1.4	4.5	6.6	西北西									
2015/2/7	十和田	0.5	5.0	-5.5	0.0	0.0	4.6		17.0	0.0	2.1	5.4	10.6	西南西									
2015/2/8	十和田	2.7	6.1	-5.6	0.0	0.0	1.1		16.0	0.0	2.3	8.4	13.3	南									
2015/2/9	十和田	-5.0	0.8	-7.7	0.0	0.0	3.5		15.0	5.0	3.9	10.9	19.1	西南西									
2015/2/10	十和田	-4.4	-1.3	-9.0	0.0	0.0	1.8		15.0	5.0	2.0	6.5	13.1	西南西									
2015/2/11	十和田	-0.5	3.9	-5.4	0.0	0.0	5.4		16.0	6.0	2.0	6.6	12.1	西南西									
2015/2/12	十和田	-0.8	3.9	-8.5	1.5	0.5	1.8		17.0	6.0	1.0	5.5	6.5	南西									
2015/2/13	十和田	0.1	3.1	-1.8	6.0	1.0	3.9		25.0	16.0	4.9	10.8	20.5	西南西									
2015/2/14	十和田	-1.4	1.3	-2.6	2.5	0.5	5.6		32.0	11.0	4.5	9.4	15.2	西									
2015/2/15	十和田	0.3	2.5	-3.9	0.5	0.5	6.6		35.0	3.0	6.0	9.9	17.0	西北西									
2015/2/16	十和田	2.5	4.9	-0.5	0.0	0.0	7.6		26.0	0.0	5.1	10.1	15.5	西北西									
2015/2/17	十和田	1.1	2.9	-0.7	0.0	0.0	1.5		23.0	0.0	2.2	5.6	8.9	東									
2015/2/18	十和田	0.7	2.8	-1.4	0.0	0.0	0.0		22.0	1.0	1.6	4.6	8.2	東									
2015/2/19	十和田	0.3	2.0	-1.1	4.0	0.5	0.0		23.0	3.0	0.8	2.6	4.5	南南西									
2015/2/20	十和田	-0.8	3.0	-5.0	0.5	0.5	4.9		21.0	3.0	1.0	3.3	5.4	東									
2015/2/21	十和田	-0.4	4.8	-5.2	0.0	0.0	5.7		21.0	0.0	1.0	4.0	6.3	北東									
2015/2/22	十和田	2.7	8.4	-4.8	1.5	1.0	1.5		18.0	0.0	1.5	4.6	9.4	南									
2015/2/23	十和田	5.3	8.9	0.9	0.0	0.0	5.8		15.0	0.0	2.7	6.9	13.1	南									
2015/2/24	十和田	2.9	7.2	-2.9	0.0	0.0	8.9		10.0	0.0	3.0	8.2	15.6	西南西									
2015/2/25	十和田	-0.6	4.2	-6.0	0.0	0.0	4.3		7.0	3.0	1.6	5.2	7.7	西									
2015/2/26	十和田	1.2	8.3	-6.4	3.5	0.5	9.6		4.0	0.0	2.0	5.8	13.6	南南東									
2015/2/27	十和田	2.2	5.3	0.0	2.5	0.5	5.8		2.0	2.0	5.4	11.5	22.3	西									
2015/2/28	十和田	2.0	6.2	-3.2	0.5	0.5	5.5		0.0	0.0	4.0	7.3	11.5	西北西									
2015/3/1	十和田	0.4	6.5	-4.9	5.0	0.5	0.0		0.0	0.0	0.8	2.5	5.5	南南東									
2015/3/2	十和田	1.2	3.1	-0.2	4.0	0.5	1.8		0.0	0.0	4.3	8.0	15.0	西									
2015/3/3	十和田	2.2	5.3	-0.7	0.0	0.0	4.3		0.0	0.0	2.2	5.8	11.4	南西									
2015/3/4	十和田	2.3	5.7	-0.2	2.5	0.5	0.3		0.0	0.0	1.4	6.5	14.3	南西									
2015/3/5	十和田	2.5	7.6	-0.1	1.0	0.5	4.2		0.0	0.0	3.1	8.8	14.7	西南西									
2015/3/6	十和田	2.0	5.8	-1.0	0.0	0.0	3.0		0.0	0.0	1.2	4.7	7.2	東									
2015/3/7	十和田	2.7	8.2	-2.4	0.0	0.0	2.0		0.0	0.0	1.4	4.7	6.7	西南西									
2015/3/8	十和田	2.6	9.3	-2.1	0.0	0.0	7.4		0.0	0.0	1.6	4.8	7.0	南西									
2015/3/9	十和田	4.8	9.7	0.9	2.5	0.5	0.4		0.0	0.0	2.1	5.9	9.8	東南東									
